01_Feature,cfg1,cfg2,cfg3,cfg4
CONFIG_OPENSSL_COMPATIBLE,True,any,any,any
CONFIG_SSL_CTX_MUTEXING,True,any,any,any
CONFIG_SSL_GENERATE_X509_CERT,True,False,any,any
CONFIG_HTTP_ENABLE_DIFFERENT_USER,True,any,False,False
CONFIG_HTTP_IS_DAEMON,True,any,False,False
CONFIG_PLATFORM_CYGWIN,True,True,False,False
CONFIG_BIGINT_KARATSUBA,True,False,False,any
CONFIG_BIGINT_SLIDING_WINDOW,True,False,False,any
CONFIG_SSL_USE_DEFAULT_KEY,True,True,any,any
CONFIG_HTTP_HAS_CGI,True,True,False,False
CONFIG_SSL_PROT_MEDIUM,False,False,False,True
CONFIG_SSL_SKELETON_MODE,False,False,True,False
CONFIG_BIGINT_SQUARE,True,True,False,any
CONFIG_DEBUG,True,False,any,any
CONFIG_WIN32_USE_CRYPTO_LIB,False,False,True,False
CONFIG_HTTP_HAS_AUTHORIZATION,True,any,False,False
CONFIG_BIGINT_CHECK_ON,True,False,False,any
CONFIG_BIGINT_CRT,True,False,False,any
CONFIG_INTEGER_8BIT,False,True,False,False
CONFIG_USE_DEV_URANDOM,False,any,False,True
CONFIG_HTTP_DIRECTORIES,True,True,False,False
CONFIG_SSL_SERVER_ONLY,False,True,False,False
CONFIG_BIGINT_MONTGOMERY,True,False,False,False
CONFIG_SSL_PROT_LOW,False,True,False,False
CONFIG_SSL_CERT_VERIFICATION,True,False,False,True
CONFIG_HTTP_VERBOSE,True,any,False,False
CONFIG_BIGINT_BARRETT,False,True,False,True
CONFIG_SSL_FULL_MODE,True,False,False,True
CONFIG_BINDINGS,True,True,any,any
CONFIG_SSL_ENABLE_CLIENT,True,False,False,True
CONFIG_PLATFORM_LINUX,False,False,False,True
CONFIG_SSL_HAS_PEM,True,False,False,False
CONFIG_INTEGER_16BIT,False,False,False,True
CONFIG_SSL_USE_PKCS12,True,any,False,any
CONFIG_HTTP_HAS_IPV6,any,any,False,False
CONFIG_PLATFORM_SOLARIS,False,any,any,any
OLD_NCURSES,True,False,any,any
CONFIG_HTTP_HAS_DIRECTORIES,True,True,any,any
AXDEBUG,True,False,any,any
STDIN_FILENO,False,any,any,any
CONFIG_ENABLE_VERIFICATION,True,any,False,any
HAVE_IPV6,True,False,any,any
WIN32,False,True,True,False
NOMMU,False,any,any,any
_WIN32_WCE,any,False,True,any
