01_Feature,cfg1,cfg2,cfg3,cfg4
ENABLE_FEATURE_LS_TIMESTAMPS,True,any,any,False
ENABLE_FEATURE_DU_DEFAULT_BLOCKSIZE_1K,False,False,any,False
ENABLE_BASE32,True,False,any,False
ENABLE_FEATURE_VERBOSE,True,any,any,False
ENABLE_FEATURE_LS_SORTFILES,True,False,any,False
ENABLE_UUDECODE,True,True,True,True
ENABLE_FEATURE_SORT_BIG,True,False,any,False
ENABLE_FEATURE_LS_USERNAME,True,any,any,False
ENABLE_FEATURE_CATV,True,any,any,False
ENABLE_FEATURE_CLEAN_UP,True,any,any,False
ENABLE_FEATURE_TOUCH_SUSV3,True,False,any,False
ENABLE_FEATURE_DATE_COMPAT,True,any,any,False
ENABLE_FEATURE_DD_SIGNAL_HANDLING,True,any,any,False
ENABLE_FEATURE_LS_COLOR,True,False,False,False
ENABLE_FEATURE_LS_RECURSIVE,True,False,any,False
ENABLE_UNICODE_SUPPORT,True,False,any,False
ENABLE_FEATURE_SPLIT_FANCY,True,any,any,False
ENABLE_SYNC,True,True,True,True
ENABLE_LONG_OPTS,True,True,False,False
ENABLE_UNEXPAND,True,True,True,True
ENABLE_FEATURE_STAT_FILESYSTEM,True,True,True,True
ENABLE_FEATURE_HUMAN_READABLE,True,False,True,False
ENABLE_FEATURE_CP_REFLINK,True,False,False,False
ENABLE_FEATURE_CATN,True,any,any,False
ENABLE_FEATURE_DF_FANCY,True,any,any,False
ENABLE_FEATURE_CP_LONG_OPTIONS,True,False,False,False
ENABLE_FEATURE_DD_THIRD_STATUS_LINE,True,False,False,False
ENABLE_FEATURE_LS_FILETYPES,True,any,any,False
ENABLE_INCLUDE_SUSv2,True,any,any,False
ENABLE_CKSUM,True,True,True,True
ENABLE_UNAME,True,True,True,True
ENABLE_FEATURE_DATE_NANO,True,False,any,False
ENABLE_FEATURE_SYNC_FANCY,True,False,any,False
ENABLE_FEATURE_DD_IBS_OBS,True,True,False,False
ENABLE_FSYNC,True,True,True,True
ENABLE_EXPR_MATH_SUPPORT_64,True,False,any,False
ENABLE_FEATURE_LS_WIDTH,True,False,any,False
ENABLE_FEATURE_FANCY_ECHO,True,False,any,False
ENABLE_DESKTOP,False,True,True,False
ENABLE_FEATURE_FANCY_HEAD,True,False,any,False
ENABLE_FEATURE_FANCY_SLEEP,True,False,any,False
ENABLE_BASE64,True,True,any,False
ENABLE_FEATURE_STAT_FORMAT,True,False,True,False
ENABLE_FEATURE_TEE_USE_BLOCK_IO,True,False,any,False
ENABLE_FEDORA_COMPAT,True,any,any,False
ENABLE_FEATURE_WC_LARGE,True,False,any,False
ENABLE_FEATURE_CUT_REGEX,False,True,any,False
ENABLE_LOCALE_SUPPORT,False,True,any,False
ENABLE_EXPAND,True,True,True,True
ENABLE_FEATURE_TEST_64,True,False,False,False
ENABLE_FEATURE_FANCY_TAIL,True,False,any,False
ENABLE_SELINUX,True,True,False,False
ENABLE_SHA3SUM,True,False,any,False
ENABLE_FEATURE_CHOWN_LONG_OPTIONS,True,True,False,False
ENABLE_TEST2,True,False,any,False
ENABLE_FEATURE_INSTALL_LONG_OPTIONS,True,False,False,False
ENABLE_FEATURE_SORT_OPTIMIZE_MEMORY,True,False,any,False
ENABLE_FEATURE_DD_STATUS,True,any,any,False
ENABLE_HUSH_TEST,True,False,any,any
S_TYPEISSEM,True,any,any,any
S_IFSOCK,True,False,any,any
ENABLE_ASH_BASH_COMPAT,True,False,any,any
S_IFLNK,True,any,any,any
DEBUG,True,any,any,any
BB_MMU,False,any,any,any
ENABLE_ASH_TEST,True,False,any,any
DBL_DIG,False,any,any,any
COMMON_PREFIX_HACK,True,False,any,any
TEST_DEBUG,True,False,any,any
S_TYPEISSHM,True,any,any,any
ENABLE_LFS,True,False,any,any
__sparc__,True,any,any,any
VERSION_WITH_WRITEV,True,True,any,any
GCC_COMBINE,True,False,any,any
FLT_DIG,False,any,any,any
LDBL_DIG,False,any,any,any
ENABLE_FEATURE_VERBOSE_CP_MESSAGE,True,any,any,any
ENABLE_FTPD,True,any,any,any
O_DIRECT,True,False,any,any
ENABLE_HUSH_BASH_COMPAT,True,False,any,any
S_TYPEISTMO,True,any,any,any
ENABLE_FLOAT_DURATION,True,any,any,any
WHY_WE_DO_IT_FOR_DEV_ROOT_ONLY,True,any,any,any
S_TYPEISMQ,True,any,any,any
TINY,False,any,any,any
BASH_TEST2,True,any,any,any
__linux__,True,any,any,any
S_IFIFO,True,False,any,any
