01_Feature,cfg1,cfg2,cfg3,cfg4
ENABLE_FEATURE_VI_YANKMARK,True,True,False,any
ENABLE_FEATURE_VI_SET,True,any,any,any
ENABLE_FEATURE_VI_SEARCH,True,True,True,True
ENABLE_FEATURE_VI_DOT_CMD,True,False,any,any
ENABLE_FEATURE_VI_USE_SIGNALS,True,False,any,any
ENABLE_FEATURE_CLEAN_UP,True,False,any,any
ENABLE_FEATURE_VI_SETOPTS,True,True,False,any
ENABLE_FEATURE_AWK_GNU_EXTENSIONS,True,False,any,any
ENABLE_LOCALE_SUPPORT,False,True,True,False
ENABLE_FEATURE_VI_READONLY,True,False,any,any
ENABLE_FEATURE_VI_VERBOSE_STATUS,True,any,any,any
ENABLE_FEATURE_VI_COLON_EXPAND,True,False,False,any
ENABLE_FEATURE_VI_REGEX_SEARCH,True,False,False,any
ENABLE_FEATURE_DIFF_LONG_OPTIONS,True,False,False,False
ENABLE_FEATURE_VI_UNDO_QUEUE,True,False,False,False
ENABLE_LONG_OPTS,True,False,any,any
ENABLE_FEATURE_DIFF_DIR,True,False,any,any
ENABLE_FEATURE_ALLOW_EXEC,True,any,any,any
ENABLE_FEATURE_VI_8BIT,True,True,False,False
ENABLE_FEATURE_VI_ASK_TERMINAL,True,any,any,any
ENABLE_DESKTOP,True,False,any,any
ENABLE_FEATURE_VI_COLON,True,False,True,True
ENABLE_FEATURE_VI_WIN_RESIZE,True,False,any,any
ENABLE_FEATURE_VI_UNDO,True,False,True,False
REG_STARTEND,True,False,any,any
ENABLE_FEATURE_VI_CRASHME,True,True,False,any
debug_parse_print_tc,False,any,any,any
debug_printf_eval,False,any,any,any
debug_printf_parse,False,True,any,any
NO_SUCH_APPLET_YET,True,any,any,any
debug_printf_walker,False,any,any,any
