01_Presence Condition,02_Total Lines in Code,03_Line Coverage Precentage
ENABLE_FEATURE_LS_COLOR,63,20.66
ENABLE_FEATURE_LS_SORTFILES,56,18.36
ENABLE_DESKTOP,37,12.13
ENABLE_FEATURE_LS_TIMESTAMPS,29,9.51
ENABLE_SELINUX,21,6.89
ENABLE_FEATURE_LS_FILETYPES,20,6.56
ENABLE_FEATURE_LS_RECURSIVE,15,4.92
ENABLE_FEATURE_LS_FILETYPES || ENABLE_FEATURE_LS_COLOR,13,4.26
ENABLE_FTPD,11,3.61
ENABLE_FEATURE_LS_USERNAME,10,3.28
ENABLE_FEATURE_LS_TIMESTAMPS || ENABLE_FEATURE_LS_SORTFILES,6,1.97
ENABLE_FEATURE_LS_WIDTH,6,1.97
ENABLE_LONG_OPTS,5,1.64
ENABLE_FEATURE_VERBOSE_CP_MESSAGE,4,1.31
ENABLE_FEATURE_LS_FILETYPES || (ENABLE_FEATURE_LS_COLOR && ENABLE_FEATURE_LS_COLOR),2,0.66
!ENABLE_FEATURE_LS_SORTFILES,2,0.66
!ENABLE_FEATURE_LS_COLOR,1,0.33
!ENABLE_FEATURE_LS_WIDTH,1,0.33
(ENABLE_FEATURE_LS_FILETYPES || ENABLE_FEATURE_LS_COLOR) && ENABLE_FEATURE_LS_FILETYPES,1,0.33
(ENABLE_FEATURE_LS_FILETYPES || ENABLE_FEATURE_LS_COLOR) && ENABLE_FEATURE_LS_COLOR,1,0.33
!ENABLE_FEATURE_LS_RECURSIVE,1,0.33
