01_Presence Condition,02_Total Lines in Code,03_Line Coverage Precentage
ENABLE_FEATURE_VI_COLON,544,19.86
ENABLE_FEATURE_VI_CRASHME,228,8.32
ENABLE_FEATURE_VI_UNDO,206,7.52
ENABLE_FEATURE_VI_YANKMARK,193,7.05
ENABLE_FEATURE_DIFF_DIR,148,5.4
ENABLE_FEATURE_VI_COLON && ENABLE_FEATURE_VI_SEARCH,136,4.97
ENABLE_FEATURE_VI_SETOPTS,123,4.49
ENABLE_FEATURE_VI_UNDO && ENABLE_FEATURE_VI_UNDO_QUEUE,93,3.4
ENABLE_FEATURE_VI_DOT_CMD,82,2.99
ENABLE_FEATURE_VI_SEARCH,77,2.81
ENABLE_FEATURE_VI_REGEX_SEARCH,65,2.37
ENABLE_FEATURE_VI_COLON && ENABLE_FEATURE_VI_SET && ENABLE_FEATURE_VI_SETOPTS,58,2.12
!ENABLE_FEATURE_VI_COLON,55,2.01
ENABLE_FEATURE_VI_SEARCH && ENABLE_FEATURE_VI_REGEX_SEARCH,54,1.97
ENABLE_FEATURE_VI_USE_SIGNALS,53,1.94
ENABLE_LONG_OPTS,53,1.94
ENABLE_FEATURE_CLEAN_UP,48,1.75
ENABLE_FEATURE_VI_COLON && ENABLE_FEATURE_VI_YANKMARK,34,1.24
ENABLE_FEATURE_VI_COLON && ENABLE_FEATURE_VI_COLON_EXPAND,34,1.24
!debug_parse_print_tc,34,1.24
ENABLE_FEATURE_VI_SEARCH && !ENABLE_FEATURE_VI_REGEX_SEARCH,33,1.2
ENABLE_DESKTOP,22,0.8
ENABLE_FEATURE_DIFF_LONG_OPTIONS,21,0.77
ENABLE_FEATURE_VI_COLON_EXPAND,20,0.73
ENABLE_LONG_OPTS && ENABLE_DESKTOP,20,0.73
ENABLE_FEATURE_VI_YANKMARK || (ENABLE_FEATURE_VI_COLON && ENABLE_FEATURE_VI_SEARCH) || ENABLE_FEATURE_VI_CRASHME,19,0.69
ENABLE_FEATURE_VI_READONLY,18,0.66
ENABLE_FEATURE_VI_YANKMARK && ENABLE_FEATURE_VI_VERBOSE_STATUS,17,0.62
ENABLE_FEATURE_VI_ASK_TERMINAL,16,0.58
!ENABLE_FEATURE_VI_UNDO,16,0.58
