01_Required Features,Associated Requirement(s)
CONFIG_NICE,['Busybox-Coreutils-1.49']
CONFIG_SHUF,['Busybox-Coreutils-1.64']
CONFIG_DATE,"['Busybox-Coreutils-1.15', 'Busybox-Coreutils-1.15.1', 'Busybox-Coreutils-1.15.2', 'Busybox-Coreutils-1.15.3']"
CONFIG_LN,['Busybox-Coreutils-1.36']
CONFIG_CHMOD,['Busybox-Coreutils-1.7']
CONFIG_CHGRP,['Busybox-Coreutils-1.6']
CONFIG_LS,"['Busybox-Coreutils-1.3.1', 'Busybox-Coreutils-1.38', 'Busybox-Coreutils-1.38.1', 'Busybox-Coreutils-1.38.2', 'Busybox-Coreutils-1.38.3', 'Busybox-Coreutils-1.38.4', 'Busybox-Coreutils-1.38.5', 'Busybox-Coreutils-1.38.6', 'Busybox-Coreutils-1.38.7', 'Busybox-Coreutils-1.38.8']"
ENABLE_FEATURE_DU_DEFAULT_BLOCKSIZE_1K,['Busybox-Coreutils-1.21.1']
CONFIG_LINK,['Busybox-Coreutils-1.35']
ENABLE_BASE32,['Busybox-Coreutils-1.92']
ENABLE_FEATURE_LS_FOLLOWLINKS,['Busybox-Coreutils-1.38.2']
CONFIG_TR,"['Busybox-Coreutils-1.81', 'Busybox-Coreutils-1.81.1', 'Busybox-Coreutils-1.81.2']"
CONFIG_WC,"['Busybox-Coreutils-1.95', 'Busybox-Coreutils-1.95.1']"
ENABLE_FEATURE_VERBOSE,['Busybox-Coreutils-1.1']
CONFIG_TEST,"['Busybox-Coreutils-1.76', 'Busybox-Coreutils-1.78.2']"
CONFIG_MV,"['Busybox-Coreutils-1.2.1', 'Busybox-Coreutils-1.48']"
CONFIG_TTY,['Busybox-Coreutils-1.85']
CONFIG_SHA256SUM,"['Busybox-Coreutils-1.41', 'Busybox-Coreutils-1.43.1.1']"
CONFIG_COMM,['Busybox-Coreutils-1.12']
CONFIG_EXPR,"['Busybox-Coreutils-1.26', 'Busybox-Coreutils-1.26.1']"
CONFIG_INSTALL,"['Busybox-Coreutils-1.34', 'Busybox-Coreutils-1.34.1']"
CONFIG_TIMEOUT,['Busybox-Coreutils-1.79']
CONFIG_WHOAMI,['Busybox-Coreutils-1.99']
CONFIG_RM,['Busybox-Coreutils-1.60']
CONFIG_CUT,"['Busybox-Coreutils-1.14', 'Busybox-Coreutils-1.14.1']"
CONFIG_MKDIR,['Busybox-Coreutils-1.44']
CONFIG_SLEEP,"['Busybox-Coreutils-1.65', 'Busybox-Coreutils-1.65.1']"
ENABLE_FEATURE_TR_CLASSES,['Busybox-Coreutils-1.81.1']
CONFIG_LOGNAME,['Busybox-Coreutils-1.37']
ENABLE_UUDECODE,['Busybox-Coreutils-1.91']
CONFIG_DOS2UNIX,['Busybox-Coreutils-1.19']
CONFIG_FALSE,['Busybox-Coreutils-1.28']
ENABLE_FEATURE_SORT_BIG,['Busybox-Coreutils-1.66.1']
CONFIG_OD,['Busybox-Coreutils-1.53']
ENABLE_FEATURE_CATV,['Busybox-Coreutils-1.5.2']
ENABLE_FEATURE_CLEAN_UP,['Busybox-1.2']
ENABLE_FEATURE_TOUCH_SUSV3,['Busybox-Coreutils-1.80.1']
CONFIG_BASENAME,['Busybox-Coreutils-1.4']
ENABLE_FEATURE_DATE_COMPAT,['Busybox-Coreutils-1.15.3']
CONFIG_DD,"['Busybox-Coreutils-1.16', 'Busybox-Coreutils-1.16.1', 'Busybox-Coreutils-1.16.2', 'Busybox-Coreutils-1.16.3']"
ENABLE_FEATURE_DD_SIGNAL_HANDLING,"['Busybox-Coreutils-1.16.1', 'Busybox-Coreutils-1.16.1.1']"
CONFIG_PWD,['Busybox-Coreutils-1.57']
ENABLE_UNICODE_SUPPORT,['Busybox-1.8']
ENABLE_FEATURE_SPLIT_FANCY,['Busybox-Coreutils-1.67.1']
CONFIG_PRINTENV,['Busybox-Coreutils-1.55']
CONFIG_USERS,['Busybox-Coreutils-1.98']
ENABLE_FEATURE_DATE_ISOFMT,['Busybox-Coreutils-1.15.1']
ENABLE_SYNC,"['Busybox-Coreutils-1.71', 'Busybox-Coreutils-1.71.1']"
ENABLE_UNEXPAND,['Busybox-Coreutils-1.25']
CONFIG_GROUPS,['Busybox-Coreutils-1.33']
CONFIG_DIRNAME,['Busybox-Coreutils-1.18']
CONFIG_TRUNCATE,['Busybox-Coreutils-1.83']
ENABLE_FEATURE_STAT_FILESYSTEM,['Busybox-Coreutils-1.68.2']
ENABLE_FEATURE_HUMAN_READABLE,"['Busybox-Coreutils-1.3', 'Busybox-Coreutils-1.3.1']"
CONFIG_READLINK,"['Busybox-Coreutils-1.58', 'Busybox-Coreutils-1.58.1']"
CONFIG_CHOWN,"['Busybox-Coreutils-1.8', 'Busybox-Coreutils-1.8.1']"
ENABLE_FEATURE_CP_REFLINK,['Busybox-Coreutils-1.13.1.1']
CONFIG_SHA1SUM,"['Busybox-Coreutils-1.40', 'Busybox-Coreutils-1.43.1.1']"
CONFIG_UNIX2DOS,['Busybox-Coreutils-1.20']
ENABLE_FEATURE_CATN,['Busybox-Coreutils-1.5.1']
ENABLE_FEATURE_DF_FANCY,['Busybox-Coreutils-1.17.1']
CONFIG_SEQ,['Busybox-Coreutils-1.62']
ENABLE_FEATURE_CP_LONG_OPTIONS,"['Busybox-Coreutils-1.13.1', 'Busybox-Coreutils-1.13.1.1', 'Busybox-Coreutils-1.13.1.2']"
CONFIG_CHROOT,['Busybox-Coreutils-1.9']
ENABLE_FEATURE_PRESERVE_HARDLINKS,"['Busybox-Coreutils-1.2', 'Busybox-Coreutils-1.2.1']"
ENABLE_FEATURE_SKIP_ROOTFS,['Busybox-Coreutils-1.17.2']
CONFIG_TAC,['Busybox-Coreutils-1.73']
ENABLE_FEATURE_DD_THIRD_STATUS_LINE,['Busybox-Coreutils-1.16.1.1']
CONFIG_ENV,['Busybox-Coreutils-1.23']
CONFIG_TAIL,"['Busybox-Coreutils-1.74', 'Busybox-Coreutils-1.74.1']"
CONFIG_TRUE,['Busybox-Coreutils-1.82']
ENABLE_INCLUDE_SUSv2,['Busybox-1.6']
CONFIG_SUM,['Busybox-Coreutils-1.70']
ENABLE_FEATURE_LS_COLOR_IS_DEFAULT,['Busybox-Coreutils-1.38.8.1']
ENABLE_CKSUM,['Busybox-Coreutils-1.10']
ENABLE_UNAME,['Busybox-Coreutils-1.86']
CONFIG_SORT,"['Busybox-Coreutils-1.66', 'Busybox-Coreutils-1.66.1', 'Busybox-Coreutils-1.66.2']"
CONFIG_ID,['Busybox-Coreutils-1.32']
ENABLE_FEATURE_DATE_NANO,['Busybox-Coreutils-1.15.2']
CONFIG_YES,['Busybox-Coreutils-1.100']
ENABLE_FEATURE_SYNC_FANCY,['Busybox-Coreutils-1.71.1']
CONFIG_HEAD,"['Busybox-Coreutils-1.30', 'Busybox-Coreutils-1.30.1']"
CONFIG_MKTEMP,['Busybox-Coreutils-1.47']
ENABLE_FEATURE_DD_IBS_OBS,['Busybox-Coreutils-1.16.2']
CONFIG_ECHO,"['Busybox-Coreutils-1.22', 'Busybox-Coreutils-1.22.1']"
CONFIG_MKNOD,['Busybox-Coreutils-1.46']
CONFIG_FOLD,['Busybox-Coreutils-1.29']
ENABLE_FSYNC,['Busybox-Coreutils-1.72']
CONFIG_RMDIR,['Busybox-Coreutils-1.61']
CONFIG_TOUCH,"['Busybox-Coreutils-1.80', 'Busybox-Coreutils-1.80.1']"
