"# The axTLS is a highly configurable Transport Layer Security (TLS) version 1 SSL library for embedded devices"

Requirement ID,Requirement Specification,Rule,Parent Feature,Children Features,Source of Requirement
"AXTLS-1","The axTLS shall select the OS platform","R2","axTLS","OS_Platform","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-1.1","The OS Platform shall use one and only one of the Linux OS, CygWin OS or Win32 OS","R4","OS_Platform","CONFIG_PLATFORM_LINUX, CONFIG_PLATFORM_CYGWIN, CONFIG_PLATFORM_WIN32","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-1.1.1","The Win32 OS may use the Win32 crypto library","R3","CONFIG_PLATFORM_WIN32","CONFIG_WIN32_USE_CRYPTO_LIB","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-1.1.2","The Win32 OS shall use the Visual Studio compiler","R2","CONFIG_PLATFORM_WIN32","Visual_Studio_Compiler","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-1.1.2.1","The Visual Studio compiler shall use one and only one of the compiler version 7.0, compiler version 8.0 or compiler version 10.0","R4","Visual_Studio_Compiler","CONFIG_VISUAL_STUDIO_7_0, CONFIG_VISUAL_STUDIO_8_0, CONFIG_VISUAL_STUDIO_10_0","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-2","The axTLS may select the debug mode","R3","axTLS","CONFIG_DEBUG","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-3","The axTLS may select the unwanted section stripping","R3","axTLS","CONFIG_STRIP_UNWANTED_SECTIONS","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4","The axTLS shall use the Secure Sockets Layer (SSL) library","R2","axTLS","SSL_Library","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.1","The SSL library shall select SSL mode","R2","SSL_Library","SSL_Mode","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.1.1","The SSL mode shall use one and only one of the Server Only, the Server Only with Verify, the Server and Client, the Server and Client with Full Diagnostic or the Skeleton mode","R5","SSL_Mode","CONFIG_SSL_SERVER_ONLY, CONFIG_SSL_CERT_VERIFICATION, CONFIG_SSL_ENABLE_CLIENT, CONFIG_SSL_FULL_MODE, CONFIG_SSL_SKELETON_MODE","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.1.1.1","The server only with verify mode may select the performance testing","R3","CONFIG_SSL_CERT_VERIFICATION","CONFIG_PERFORMANCE_TESTING","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.1.1.2","The server and client full diagnostic mode may select the SSL testing","R3","CONFIG_SSL_FULL_MODE","CONFIG_SSL_TEST","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-4.1.1.3","The server and client full diagnostic mode requires Server_Client","R7","CONFIG_SSL_FULL_MODE","CONFIG_SSL_ENABLE_CLIENT","synthesized from axTLS-2.1.5 menuconfig"
