"# "

Requirement ID,Requirement Specification,Rule,Parent Feature,Children Features,Source of Requirement
"Busybox-1","The Busybox shall select Settings","R2","Busybox","Settings","synthesized from busybox-1.37.0 menuconfig"
"Busybox-1.1","The Settings may select DESKTOP","R3","Settings","ENABLE_DESKTOP","synthesized from busybox-1.37.0 menuconfig"
"Busybox-1.2","The Settings may select FEATURE_CLEAN_UP","R3","Settings","ENABLE_FEATURE_CLEAN_UP","synthesized from busybox-1.37.0 menuconfig"
"Busybox-1.3","The Settings may select LOCALE_SUPPORT","R3","Settings","ENABLE_LOCALE_SUPPORT","synthesized from busybox-1.37.0 menuconfig"
"Busybox-1.4","The Settings may select LONG_OPTS","R3","Settings","ENABLE_LONG_OPTS","synthesized from busybox-1.37.0 menuconfig"
"Busybox-1.5","The Settings may select FEDORA_COMPAT","R3","Settings","ENABLE_FEDORA_COMPAT","synthesized from busybox-1.37.0 menuconfig"
"Busybox-1.6","The Settings may select INCLUDE_SUSv2","R3","Settings","ENABLE_INCLUDE_SUSv2","synthesized from busybox-1.37.0 menuconfig"
"Busybox-1.7","The Settings may select SELINUX","R3","Settings","ENABLE_SELINUX","synthesized from busybox-1.37.0 menuconfig"
"Busybox-1.8","The Settings may select UNICODE_SUPPORT","R3","Settings","ENABLE_UNICODE_SUPPORT","synthesized from busybox-1.37.0 menuconfig"
"Busybox-Coreutils-1","The Busybox shall select Coreutils","R2","Busybox","Coreutils","synthesized from busybox-1.37.0 menuconfig"
"Busybox-Coreutils-1.1","The Coreutils may select FEATURE_VERBOSE","R3","Coreutils","ENABLE_FEATURE_VERBOSE","synthesized from busybox-1.37.0 menuconfig"
"Busybox-Coreutils-1.2","The Coreutils may select FEATURE_PRESERVE_HARDLINKS","R3","Coreutils","ENABLE_FEATURE_PRESERVE_HARDLINKS","synthesized from busybox-1.37.0 menuconfig"
"Busybox-Coreutils-1.2.1","The FEATURE_PRESERVE_HARDLINKS requires CP or MV","R7","ENABLE_FEATURE_PRESERVE_HARDLINKS","CONFIG_CP, CONFIG_MV","synthesized from busybox-1.37.0 menuconfig"
"Busybox-Coreutils-1.3","The Coreutils may select FEATURE_HUMAN_READABLE","R3","Coreutils","ENABLE_FEATURE_HUMAN_READABLE","synthesized from busybox-1.37.0 menuconfig"
"Busybox-Coreutils-1.3.1","The FEATURE_HUMAN_READABLE requires DF, DU or LS","R7","ENABLE_FEATURE_HUMAN_READABLE","CONFIG_DF, CONFIG_DU, CONFIG_LS","synthesized from busybox-1.37.0 menuconfig"
"Busybox-Coreutils-1.4","The Coreutils shall select BASENAME","R2","Coreutils","CONFIG_BASENAME","synthesized from busybox-1.37.0 menuconfig"
"Busybox-Coreutils-1.5","The Coreutils shall select CAT","R2","Coreutils","CONFIG_CAT","synthesized from busybox-1.37.0 menuconfig"
